,Date :,5/27/2021 17:37,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
210222_1,VF031521_100944,day0_1,Chamber1,,,Sound 1,11,23,4.46,76.67,10.86,0,340
210222_1,VF031521_100944,day0_1,Chamber1,,,Sound 2,8,25.033,4.85,83.44,7.9,0,332
210222_1,VF031521_100944,day0_1,Chamber1,,,Sound 3,19,18.7,3.62,62.33,18.16,0,281
210222_1,VF031521_100944,day0_1,Chamber1,,,Shock 1,2,0.9,0.17,45,11.38,0,51
210222_1,VF031521_100944,day0_1,Chamber1,,,Shock 2,2,1.9,0.37,95,1.67,0,20
210222_1,VF031521_100944,day0_1,Chamber1,,,Shock 3,1,1.6,0.31,80,6.68,0,101
,,,,,,,,,,,,,
210222_2,VF031521_100944,day0_1,Chamber 2,,,Sound 1,10,28.9,5.6,96.33,1.76,0,59
210222_2,VF031521_100944,day0_1,Chamber 2,,,Sound 2,6,29.6,5.74,98.67,1.21,0,22
210222_2,VF031521_100944,day0_1,Chamber 2,,,Sound 3,2,29.967,5.81,99.89,0.42,0,17
210222_2,VF031521_100944,day0_1,Chamber 2,,,Shock 1,2,0.9,0.17,45,15.67,0,174
210222_2,VF031521_100944,day0_1,Chamber 2,,,Shock 2,2,1.433,0.28,71.67,11.88,0,95
210222_2,VF031521_100944,day0_1,Chamber 2,,,Shock 3,1,0.767,0.15,38.33,14.33,0,111
,,,,,,,,,,,,,
210222_3,VF031521_102527,day_1,Chamber1,,,Sound 1,5,28.6,5.54,95.33,1.83,0,100
210222_3,VF031521_102527,day_1,Chamber1,,,Sound 2,2,29.967,5.81,99.89,0.07,0,21
210222_3,VF031521_102527,day_1,Chamber1,,,Sound 3,1,30,5.81,100,0.02,0,9
210222_3,VF031521_102527,day_1,Chamber1,,,Shock 1,2,1.933,0.37,96.67,2.57,0,24
210222_3,VF031521_102527,day_1,Chamber1,,,Shock 2,1,2,0.39,100,1.32,0,12
210222_3,VF031521_102527,day_1,Chamber1,,,Shock 3,2,1.7,0.33,85,4.38,0,21
,,,,,,,,,,,,,
210222_4,VF031521_102527,day_1,Chamber 2,,,Sound 1,2,29.767,5.77,99.22,0.29,0,19
210222_4,VF031521_102527,day_1,Chamber 2,,,Sound 2,2,29.967,5.81,99.89,0.07,0,16
210222_4,VF031521_102527,day_1,Chamber 2,,,Sound 3,1,30,5.81,100,0,0,0
210222_4,VF031521_102527,day_1,Chamber 2,,,Shock 1,2,1.3,0.25,65,6.22,0,139
210222_4,VF031521_102527,day_1,Chamber 2,,,Shock 2,3,1.533,0.3,76.67,9.2,0,112
210222_4,VF031521_102527,day_1,Chamber 2,,,Shock 3,2,1,0.19,50,11.4,0,107
,,,,,,,,,,,,,
210222_5,VF031521_103555,day0_trial3,Chamber1,,,Sound 1,7,26.633,5.16,88.78,4.56,0,241
210222_5,VF031521_103555,day0_trial3,Chamber1,,,Sound 2,4,29.433,5.7,98.11,0.56,0,60
210222_5,VF031521_103555,day0_trial3,Chamber1,,,Sound 3,1,30,5.81,100,0.35,0,12
210222_5,VF031521_103555,day0_trial3,Chamber1,,,Shock 1,0,0,0,0,91.45,0,1162
210222_5,VF031521_103555,day0_trial3,Chamber1,,,Shock 2,2,1.5,0.29,75,15,0,241
210222_5,VF031521_103555,day0_trial3,Chamber1,,,Shock 3,1,0.367,0.07,18.33,20.43,0,283
,,,,,,,,,,,,,
210222_6,VF031521_103555,day0_trial3,Chamber 2,,,Sound 1,5,28.733,5.57,95.78,1.9,0,53
210222_6,VF031521_103555,day0_trial3,Chamber 2,,,Sound 2,2,29.967,5.81,99.89,0.77,0,19
210222_6,VF031521_103555,day0_trial3,Chamber 2,,,Sound 3,1,30,5.81,100,0.03,0,3
210222_6,VF031521_103555,day0_trial3,Chamber 2,,,Shock 1,2,0.767,0.15,38.33,19.47,0,115
210222_6,VF031521_103555,day0_trial3,Chamber 2,,,Shock 2,2,1.067,0.21,53.33,13.57,0,111
210222_6,VF031521_103555,day0_trial3,Chamber 2,,,Shock 3,2,0.733,0.14,36.67,10.13,0,55
,,,,,,,,,,,,,
210222_7,VF031521_104933,day0_trial4,Chamber1,,,Sound 1,5,28.1,5.45,93.67,3.18,0,203
210222_7,VF031521_104933,day0_trial4,Chamber1,,,Sound 2,1,30,5.81,100,0.12,0,5
210222_7,VF031521_104933,day0_trial4,Chamber1,,,Sound 3,1,30,5.81,100,0.09,0,10
210222_7,VF031521_104933,day0_trial4,Chamber1,,,Shock 1,2,1.9,0.37,95,3.9,0,74
